Theater Name,Review date,Review URL,Author name,Local Guide,Star rating,Review content,
Violet Crown,7/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSURRejQtbEhnEAE!2m1!1s0x0 ,Dean Lhospital,TRUE,5,,
Violet Crown,7/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUNKNFp2SjhBRRAB!2m1!1s0x0 ,Kristina Muldoon,FALSE,5,,
Violet Crown,7/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUNKb2J5RFVnEAE!2m1!1s0x0 ,John Kuhn,TRUE,5,"Incredible experience right on the mall.  Very friendly and helpful staff, and pretty good food.They have a personal pizza available that has no business being as good as it is.A+ would recommend",
Violet Crown,7/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUR4NGUtRWl3RRAB!2m1!1s0x0 ,Zahra Ghorbani,TRUE,4,Cozy movie theater/ offers food and drinks,
Violet Crown,6/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUR4c1A2QWl3RRAB!2m1!1s0x0 ,Alex Seidel,TRUE,5,Wonderful as always.,
Violet Crown,6/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUR4M29pamRnEAE!2m1!1s0x0 ,Erick Nesbitt,FALSE,4,"The theater was really nice. The seats were def more comfortable than both regal and Alamo. The pricing was not horrible however, not ideal for the concessions. Overall one of my best viewing experiences in Charlottesville.I will return at my earliest opportunity.",
Violet Crown,6/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUN4Xy1ldTlBRRAB!2m1!1s0x0 ,Brandon Ferguson,TRUE,3,The theater was nice. The employees taking the tickets were pretty creepy though.  Stared at my wife and other women.,
Violet Crown,6/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUN4al9tMnpnRRAB!2m1!1s0x0 ,Angie,FALSE,5,"Nice comfy seats! The pizza wasn't the best, but the popcorn was really good!",
Violet Crown,5/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUN4aS1uR2V3EAE!2m1!1s0x0 ,Nikkita Jackson,FALSE,4,Really nice and inexpensive theater.,
Violet Crown,5/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSUN4ck9fNUpREAE!2m1!1s0x0 ,A BBurn,FALSE,5,Great theater,
Violet Crown,5/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChZDSUhNMG9nS0VJQ0FnSURSaHFpbEV3EAE!2m1!1s0x0 ,Mary Scott,FALSE,5,,
Violet Crown,5/15/2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSURSNk1QbHZ3RRAB!2m1!1s0x0 ,Kelly Carter,FALSE,5,"My favorite place in Cville! Please support your art house theaters!! Everyone who works here is so kind, it's always a great experience!",
